RUBRIQUES BUDGETAIRES;"SALAIRE ET INDEM.
(1)";"CHARGES SOCIALES
(2)";"TRANSP. & FRAIS DE MISS.
(3)";"CARBUR. ET LUBRIF.
(4)";"MATERIEL ET FOURNIT.
(5)";"ABONN. EAU, ELEC, TELEPH.
(6)";"TRAVAUX & SCES A L'ENTREP.
(7)";"INTERVEN ET TRANSF.
(8)";TOTAUX
624   CHAPITRE 624   SPORTS ET LOISIRS;;;;;;;;;
6246   AUTRES DÉPENSES AU TITRE DES SPORTS ET LOISIRS;;;;;750?000;;;250?000;1?000?000
Sous-total chapitre 624;;;;;750?000;;;250?000;1?000?000
625   CHAPITRE 625   ACTIVITES CULTURELLES;;;;;;;;;
6250   ADMINISTRATION;;;1?000?000;1?250?000;1?000?000;;;;3?250?000
6256   AUTRES DÉPENSES AU TITRE DES ACTIVITÉS CULTURELLES;;;;;1?000?000;;;;1?000?000
Sous-total chapitre 625;;;1?000?000;1?250?000;2?000?000;;;;4?250?000
626   CHAPITRE 626   AUTRES DEPENSES DES SERVICES SOCIAUX ,CULTURELS ET DE PROMOTION HUMAINE;;;;;;;;;
626   AUTRES DEPENSES DES SERVICES SOCIAUX ,CULTURELS ET DE PROMOTION HUMAINE;;;;;4?000?000;;;;4?000?000
Sous-total chapitre 626;;;;;4?000?000;;;;4?000?000
Sous-total section  62;;;1?000?000;16?500?000;15?208?000;;7?500?000;6?500?000;46?708?000
63   SECTION 63   DEPENSES DES SERVICES ECONOMIQUES;;;;;;;;;
63   SECTION 63   DEPENSES DES SERVICES ECONOMIQUES;;;;;;;;;
633   CHAPITRE 633   TRANSPORT_COMMUNICATION;;;;;;;;;
6336   AUTRES DÉPENSES DE TRANSPORT ET COMMUNICATIONS;;;;;;;750?000;250?000;1?000?000
Sous-total chapitre 633;;;;;;;750?000;250?000;1?000?000
634   CHAPITRE 634   INDUSTRIE  ET COMMERCE;;;;;;;;;
6341   ABATTOIRS-CONSERVATION ET TRANSPORTS DE VIANDE;;;;1?000?000;;;;;1?000?000
6344   MARCHÉS;;;;;1?000?000;;3?148?000;;4?148?000
Sous-total chapitre 634;;;;1?000?000;1?000?000;;3?148?000;;5?148?000
Sous-total section  63;;;;1?000?000;1?000?000;;3?898?000;250?000;6?148?000
64   SECTION 64   DEPENSES DIVERSES;;;;;;;;;
640   CHAPITRE 640   DETTE;;;;;;;;;
6406   AUTRES DETTES DE LA COMMUNE (OU DE LA VILLE );;;;;20?370?000;;;;20?370?000
Sous-total chapitre 640;;;;;20?370?000;;;;20?370?000
641   CHAPITRE 641   CONTRIBUTION, FONDS DE CONCOURS ET TRANSFERTS;;;;;;;;;
6415   CONFÉRENCES INTERCOMMUNALES -ASSOCIATION DES VILLES ET COMMUNES;;;;;;;;3?650?000;3?650?000
6416   AUTRES CONTRIBUTIONS ET TRANSFERTS;;;;;;;;2?000?000;2?000?000
Sous-total chapitre 641;;;;;;;;5?650?000;5?650?000
642   CHAPITRE 642   ASSURANCES DE LA COMMUNE ( OU DE LA VILLE );;;;;;;;;
64   SECTION 64   DEPENSES DIVERSES;;;;;;;;;
642   CHAPITRE 642   ASSURANCES DE LA COMMUNE ( OU DE LA VILLE );;;;;;;;;
6420   RESPONSABILITÉ CIVILE;;;;;;;;2?000?000;2?000?000
6422   ASSURANCES DES VÉHICULES;;;;;;;;5?000?000;5?000?000
6426   AUTRES ASSURANCES;;2?112?000;;;;;;2?000?000;4?112?000
Sous-total chapitre 642;;2?112?000;;;;;;9?000?000;11?112?000
643   CHAPITRE 643   CEREMONIES PUBLIQUES _FETES ET RECEPTIONS OFFICIELLES;;;;;;;;;
6430   CÉRÉMONIES PUBLIQUES;;;;;5?000?000;;;;5?000?000
6431   FÊTES ET RÉCEPTIONS OFFICIELLES;;;;;2?000?000;;;;2?000?000
Sous-total chapitre 643;;;;;7?000?000;;;;7?000?000
644   CHAPITRE 644   VERSEMENTS AUX FONDS DE RESERVE;;;;;;;;;
6441   FONDS D'INVESTISSEMENT;;;;;;;;55?000?000;55?000?000
Sous-total chapitre 644;;;;;;;;55?000?000;55?000?000
645   CHAPITRE 645   DEPENSES ACCIDENTELLES;;;;;;;;;
6456   AUTRES REMBOURSEMENTS DIVERS;;;;;;;;150?000;150?000
Sous-total chapitre 645;;;;;;;;150?000;150?000
Sous-total section  64;;2?112?000;;;27?370?000;;;69?800?000;99?282?000
TOTAL GENERAL DES DEPENSES AU TITRE I;156?417?000;9?854?000;21?900?000;95?500?000;103?975?000;10?000?000;41?268?000;79?250?000;518?164?000
